Sl_no,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range
935.0,Maruti Suzuki,Ertiga,1.5L Vdi,986689,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1690 mm,4395 mm,1735 mm,MPV,5.0,,,24.2 km/litre,,1225 kg kg,6,,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,,,185/65R15,185/65R15,Electric Power,All Windows,,Remote,95Bhp@4400rpm,225Nm@1750rpm,Digital,Analog,Analog,Yes,7.0,Fabric,Manual,2740 mm,185/65R15,,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,209(All3RowsUp).550(3rdRowFolded)&803(2ndRowand3rdRowFolded) litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.2 meter,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1730 kg kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,Air Conditioner : Standard,Rear sensors,Yes,Yes,,,,Yes,Multifunction Steering Wheel,Yes,Yes,,,Yes,,Cup Holders,,,,,,Yes,Yes,,,,,,,,,,,,
936.0,Maruti Suzuki,Ertiga,1.5L Zdi,1069689,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1690 mm,4395 mm,1735 mm,MPV,5.0,,,24.2 km/litre,,1225 kg kg,6,,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,,,185/65R15,185/65R15,Electric Power,All Windows,,Remote,95Bhp@4400rpm,225Nm@1750rpm,Digital,Analog,Analog,Yes,7.0,Fabric,Manual,2740 mm,185/65R15,Yes,2,CD Player with USB & Aux-in,Yes,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",209(All3RowsUp).550(3rdRowFolded)&803(2ndRowand3rdRowFolded) litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.2 meter,Yes,Driver Only,,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1730 kg kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,17.6:1,Rake,,,Rear sensors,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,,Yes,,Yes,,,,,,Yes,Yes,,,,,,,,,,,,
937.0,Maruti Suzuki,Ertiga,1.5L Zdi Plus,1120689,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Diesel,1690 mm,4395 mm,1735 mm,MPV,5.0,,,24.2 km/litre,,1225 kg kg,6,,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,,,185/65R15,185/65R15,Electric Power,All Windows,,Smart Key,95Bhp@4400rpm,225Nm@1750rpm,Digital,Analog,Analog,Yes,7.0,Fabric,Manual,2740 mm,185/65R15,Yes,2,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",209(All3RowsUp).550(3rdRowFolded)&803(2ndRowand3rdRowFolded) litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.2 meter,Yes,Driver Only,,Fully automatic climate control,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1800 kg kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,17.6,Rake,,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,,Cup Holders,Yes,,,,,Yes,Yes,,,,,,,,,,,,
938.0,Maruti Suzuki,Ertiga,Vxi Cng (Cng +,887689,1462 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,45 litres,CNG + Petrol,1685 mm,4265 mm,1695 mm,MUV,5.0,,,19.34 km/litre,,1175 kg,5,,Ventilated Disc,Drum,McPherson strut & coil spring,Torsion beam & coil spring,,,185/65R15,185/65R15,Electric Power,All Windows,,Remote,103Bhp@6000rpm,180Nm@4400rpm,Digital,Analog,Analog,Yes,7.0,Fabric,Manual,2740 mm,185/65R15,,2,CD/MP3 Player,,Yes,2 years /40000 Kms (years/distance whichever comes first),Yes,Internal,209(All3RowsUp).550(3rdRowFolded)&803(2ndRowand3rdRowFolded) litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.2 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1760 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,10.6:1,Rake,,,Rear sensors,Yes,,,,,,Multifunction Steering Wheel,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,
939.0,Maruti Suzuki,Baleno Rs,Rs 1.0,788913,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,37 litres,Petrol,1510 mm,3995 mm,1745 mm,Hatchback,5.0,21.4 km/litre,,21.4 km/litre,,950 kg,5,170 mm,Ventilated Disc,Ventilated Disc,McPherson Strut,Torsion Beam,1505 mm,1515 mm,195/55R16,195/55R16,Electric Power,All Windows,,Remote,102PS@5500rpm,150Nm@1700-4500RPM,Digital,Analog,Analog,Yes,5.0,Leather,Manual,2520 mm,195/55R16,Yes,2,CD Player with USB & Aux-in,Yes,Yes,"2 Years / 40,000 Kms (Whichever comes earlier)",Yes,"With Remote, Internal",339 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,4.9 meter,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,,,,,Yes,Normal,Yes,Yes,,,Yes,,,Yes,Yes,All Rows,1360 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,Yes,,,,Yes,,,,,Yes,,,,Yes,Yes,,,,,,,,
940.0,Honda,Wr-V,Vx Diesel,1035000,1498 cc,,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40 litres,Diesel,1601 mm,3999 mm,1734 mm,SUV,5.0,25.5 km/litre,,25.5 km/litre,,1204 kg,7,188 mm,Ventilated Disc,Drum,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,,,195/60 R16,195/60 R16,Electric Power,All Windows,Yes,Smart Key,100PS@3600rpm,200Nm@1750rpm,Analog,Analog,Analog,2,5.0,Fabric,Manual,2555 mm,195/60 R16,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"With Remote, Internal",363 litres,Yes,Yes,Yes,Digital,Front,Yes,Yes,Yes,3 Years/Unlimited km Warranty*,Yes,"With Remote, Internal",Digital,Manual,Analog,Yes,5.3 meter,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,Yes,,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,Yes,2.0,,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,Yes,,,,Yes,,,,,Yes,,,,Yes,,,,Yes,,,,,
941.0,Honda,Wr-V,Vx Petrol,925000,1199 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40 litres,Petrol,1601 mm,3999 mm,1734 mm,SUV,5.0,17.5 km/litre,,17.5 km/litre,,1104 kg,7,188 mm,Ventilated Disc,Drum,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,,,195/60 R16,195/60 R16,Electric Power,All Windows,,Remote,90PS@6000rpm,110Nm@4800rpm,Analog,Analog,Analog,2,5.0,Fabric,Manual,2555 mm,195/60 R16,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"Internal, With Remote",363 litres,Yes,Yes,Yes,Digital,Front,Yes,Yes,Yes,3 Years/Unlimited km Warranty*,Yes,"Internal, With Remote",Digital,Manual,Analog,,5.3 meter,,Driver & Front Passenger,,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,,2.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,Yes,,,,Yes,,,,,,,,,Yes,,,,,,,,,
942.0,Honda,Wr-V,S Diesel,925000,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40 litres,Diesel,1601 mm,3999 mm,1734 mm,SUV,5.0,25.5 km/litre,,25.5 km/litre,,1176 kg,7,188 mm,Ventilated Disc,Drum,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,,,195/60 R16,195/60 R16,Electric Power,All Windows,,Remote,100PS@3600rpm,200Nm@1750rpm,Analog,Analog,Analog,2,5.0,Fabric,Manual,2555 mm,195/60 R16,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"Internal, With Remote",363 litres,Yes,Yes,Yes,Digital,Front,,Yes,Yes,3 Years/Unlimited km Warranty*,Yes,"With Remote, Internal",Digital,Manual,Analog,Yes,5.3 meter,,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,,2.0,,"Rake, Reach",,,Rear sensors,Yes,Yes,,,Yes,,Multifunction Steering Wheel,Yes,,Manual Adjustment,,,,,Yes,,,,,Yes,,,,,,,,,,,,,
943.0,Honda,Wr-V,S Petrol,815000,1199 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40 litres,Petrol,1601 mm,3999 mm,1734 mm,SUV,5.0,17.5 km/litre,,17.5 km/litre,,1087 kg,7,188 mm,Ventilated Disc,Drum,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,,,195/60 R16,195/60 R16,Electric Power,All Windows,,Remote,90PS@6000rpm,110Nm@4800rpm,Analog,Analog,Analog,2,5.0,Fabric,Manual,2555 mm,195/60 R16,Yes,,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"With Remote, Internal",363 litres,Yes,Yes,Yes,Digital,Front,,Yes,Yes,3 Years/Unlimited km Warranty*,Yes,"With Remote, Internal",Digital,Manual,Analog,Yes,5.3 meter,,Driver & Front Passenger,,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,Front Row,,"Front passenger frontal airbag, Driver frontal airbag",Yes,Yes,,,2.0,,"Rake, Reach",,,Rear sensors,Yes,Yes,,,,,Multifunction Steering Wheel,Yes,,Manual Adjustment,,,,,Yes,,,,,,,,,,,,,,,,,,
944.0,Honda,Wr-V,Edge Plus Edition Diesel,916050,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40 litres,Diesel,1601 mm,3999 mm,1734 mm,SUV,5.0,25.5 km/litre,,25.5 km/litre,,1176 kg,7,188 mm,Ventilated Disc,Drum,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,,,195/60 R16,195/60 R16,Electric Power,All Windows,,Remote,100PS@3600rpm,200Nm@1750rpm,Analog,Analog,Analog,2,5.0,Fabric,Manual,2555 mm,195/60 R16,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"Internal, With Remote",363 litres,Yes,Yes,Yes,Digital,Front,,Yes,Yes,3 Years/Unlimited km Warranty*,Yes,"With Remote, Internal",Digital,Manual,Analog,Yes,5.3 meter,,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,,2.0,,"Rake, Reach",,,Rear sensors,Yes,Yes,,,Yes,,Multifunction Steering Wheel,Yes,,Manual Adjustment,,,,,Yes,,,,,Yes,,,,,,,,,,,,,
945.0,Honda,Wr-V,Edge Plus Edition Petrol,808050,1199 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40 litres,Petrol,1601 mm,3999 mm,1734 mm,SUV,5.0,17.5 km/litre,,17.5 km/litre,,1087 kg,7,188 mm,Ventilated Disc,Drum,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,,,195/60 R16,195/60 R16,Electric Power,All Windows,,Remote,90PS@6000rpm,110Nm@4800rpm,Analog,Analog,Analog,2,5.0,Fabric,Manual,2555 mm,195/60 R16,Yes,,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"With Remote, Internal",363 litres,Yes,Yes,Yes,Digital,Front,,Yes,Yes,3 Years/Unlimited km Warranty*,Yes,"With Remote, Internal",Digital,Manual,Analog,Yes,5.3 meter,,Driver & Front Passenger,,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,Front Row,,"Front passenger frontal airbag, Driver frontal airbag",Yes,Yes,,,2.0,,"Rake, Reach",,,Rear sensors,Yes,Yes,,,,,Multifunction Steering Wheel,Yes,,Manual Adjustment,,,,,Yes,,,,,,,,,,,,,,,,,,
946.0,Honda,Wr-V,Exclusive Edition Diesel,1048050,1498 cc,,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40 litres,Diesel,1601 mm,3999 mm,1734 mm,SUV,5.0,25.5 km/litre,,25.5 km/litre,,1204 kg,7,188 mm,Ventilated Disc,Drum,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,,,195/60 R16,195/60 R16,Electric Power,All Windows,Yes,Smart Key,100PS@3600rpm,200Nm@1750rpm,Analog,Analog,Analog,2,5.0,Fabric,Manual,2555 mm,195/60 R16,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"With Remote, Internal",363 litres,Yes,Yes,Yes,Digital,Front,Yes,Yes,Yes,3 Years/Unlimited km Warranty*,Yes,"Internal, With Remote",Digital,Manual,Analog,Yes,5.3 meter,Yes,Driver & Front Passenger,,Fully automatic climate control,,Yes,,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,Yes,2.0,,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,Yes,,,,Yes,,,,,Yes,,,,,,,,Yes,,,,,
947.0,Honda,Wr-V,Exclusive Edition Petrol,935050,1199 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40 litres,Petrol,1601 mm,3999 mm,1734 mm,SUV,5.0,17.5 km/litre,,17.5 km/litre,,1104 kg,7,188 mm,Ventilated Disc,Drum,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,,,195/60 R16,195/60 R16,Electric Power,All Windows,,Remote,90PS@6000rpm,110Nm@4800rpm,Analog,Analog,Analog,2,5.0,Fabric,Manual,2555 mm,195/60 R16,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"Internal, With Remote",363 litres,Yes,Yes,Yes,Digital,Front,Yes,Yes,Yes,3 Years/Unlimited km Warranty*,Yes,"Internal, With Remote",Digital,Manual,Analog,,5.3 meter,,Driver & Front Passenger,,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,,2.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,Yes,,,,Yes,,,,,,,,,,,,,,,,,,
948.0,Honda,Wr-V,V Diesel,995000,1498 cc,,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,40 litres,Diesel,1601 mm,3999 mm,1734 mm,SUV,5.0,25.5 km/litre,,25.5 km/litre,,1204 kg,7,188 mm,Ventilated Disc,Drum,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,,,195/60 R16,195/60 R16,Electric Power,All Windows,Yes,Smart Key,100PS@3600rpm,200Nm@1750rpm,Analog,Analog,Analog,2,5.0,Fabric,Manual,2555 mm,195/60 R16,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"With Remote, Internal",363 litres,Yes,Yes,Yes,Digital,Front,Yes,Yes,Yes,3 Years/Unlimited km Warranty*,Yes,"Internal, With Remote",Digital,Manual,Analog,Yes,5.3 meter,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,Yes,,,,,,Yes,,,,Yes,Yes,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,Yes,2.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,Yes,,,,Yes,,Yes,,,Yes,,,,,,,,Yes,,,,,
949.0,Mahindra,Tuv300,T4 Plus,854328,1493 cc,3.0,4.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,60 litres,Diesel,1817 mm,3995 mm,1835 mm,SUV,5.0,18.49 km/litre,,18.49 km/litre,,1590 kg,5,184 mm,Ventilated Disc,Drum,Double wishbone,Rigid Axle Multi-Link,,,215/75R15,215/75R15,Electric Power,All Windows,,,84PS@3750RPM,240Nm@1600-2800rpm,Digital,Analog,Analog,Yes,7.0,Fabric,Manual,2680 mm,215/75R15,,Yes,Not on offer,,Yes,3 years /100000 Kms (years/distance whichever comes first),,Internal,384 litres,,,Yes,Digital,Front,Yes,Front & Rear,Yes,4 years /100000 Kms (years/distance whichever comes first),,Manual,Digital,Manual,Analog + Digital,Yes,5.35 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,Yes,Yes,,,Yes,,Front Row,2225 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,,Rake,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,
950.0,Mahindra,Tuv300,T6 Plus,914328,1493 cc,3.0,4.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,60 litres,Diesel,1817 mm,3995 mm,1835 mm,SUV,5.0,18.49 km/litre,,18.49 km/litre,,1590 kg,5,184 mm,Ventilated Disc,Drum,Double wishbone,Rigid Axle Multi-Link,,,215/75R15,215/75R15,Electric Power,All Windows,,Remote,84PS@3750RPM,240Nm@1600-2800rpm,Digital,Analog,Analog,Yes,7.0,Fabric,Manual,2680 mm,215/75R15,,2,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,384 litres,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,4 years /100000 Kms (years/distance whichever comes first),Yes,Manual,Digital,Manual,Analog + Digital,Yes,5.35 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,,Yes,,,,Yes,,,,,Yes,,Yes,,Front Row,2225 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,,Rake,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,
951.0,Mahindra,Tuv300,T8,976592,1493 cc,3.0,4.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,60 litres,Diesel,1817 mm,3995 mm,1835 mm,SUV,5.0,18.49 km/litre,,18.49 km/litre,,1590 kg,5,184 mm,Ventilated Disc,Drum,Double wishbone,Rigid Axle Multi-Link,,,215/75R15,215/75R15,Electric Power,All Windows,,Remote,84PS@3750RPM,240Nm@1600-2800rpm,Digital,Analog,Analog,Yes,7.0,Fabric,Manual,2680 mm,215/75R15,,2,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,384 litres,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,4 years /100000 Kms (years/distance whichever comes first),Yes,Manual,Digital,Manual,Analog + Digital,Yes,5.35 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,,Yes,,,,Yes,,,Yes,Yes,Yes,,Yes,,Front Row,2225 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,,Rake,,,,,Yes,,,Yes,Yes,Multifunction Steering Wheel,,,Manual Adjustment,,,,,,,,,,Yes,Yes,,,,,,,,,,,,
952.0,Mahindra,Tuv300,T10,999614,1493 cc,3.0,4.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,60 litres,Diesel,1839 mm,3995 mm,1835 mm,SUV,5.0,18.49 km/litre,,18.49 km/litre,,1590 kg,5,184 mm,Ventilated Disc,Drum,Double wishbone,Rigid Axle Multi-Link,,,215/75R15,215/75R15,Electric Power,All Windows,,Remote,100PS@3750RPM,240Nm@1500-2250rpm,Digital,Analog,Analog,Yes,7.0,Fabric,Manual,2680 mm,215/75R15,,2,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),,"Manual, Internal",384 litres,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,4 years /100000 Kms (years/distance whichever comes first),Yes,"Internal, Manual",Digital,Manual,Analog + Digital,Yes,5.35 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,,Yes,,,Normal,Yes,,,,Yes,,,Yes,,Front Row,2225 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,,Rake,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,,Manual Adjustment,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,Yes,,
953.0,Mahindra,Tuv300,T10 (O),1031943,1493 cc,3.0,4.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,60 litres,Diesel,1839 mm,3995 mm,1835 mm,SUV,5.0,18.49 km/litre,,18.49 km/litre,,1590 kg,5,184 mm,Ventilated Disc,Drum,Double wishbone,Rigid Axle Multi-Link,,,215/75R15,215/75R15,Electric Power,All Windows,,Remote,100PS@3750RPM,240Nm@1500-2250rpm,Digital,Analog,Analog,Yes,7.0,Leather,Manual,2680 mm,215/75R15,,2,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"Manual, Internal",384 litres,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,4 years /100000 Kms (years/distance whichever comes first),Yes,"Internal, Manual",Digital,Manual,Analog + Digital,Yes,5.35 meter,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,,Yes,,,Normal,Yes,,,,Yes,,,Yes,,Front Row,2225 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,,Rake,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,,Manual Adjustment,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,
